number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_max_epochs,params_max_pct_mito,params_min_cells,params_min_genes,params_n_hidden,params_n_latent,params_n_layers,params_n_top_genes,params_norm_method,state
0,,2025-05-05 16:31:27.956504,2025-05-05 16:31:28.035090,0 days 00:00:00.078586,,,,0.15000000000000002,10,300,,,,2000,sctransform,FAIL
1,,2025-05-05 16:32:59.471066,2025-05-05 16:32:59.541985,0 days 00:00:00.070919,,,,0.15000000000000002,10,300,,,,2000,sctransform,FAIL
2,,2025-05-05 16:35:07.990430,2025-05-05 16:35:08.061457,0 days 00:00:00.071027,,,,0.15000000000000002,10,300,,,,2000,sctransform,FAIL
3,,2025-05-05 16:40:13.265782,2025-05-05 16:41:24.714929,0 days 00:01:11.449147,,,,0.15000000000000002,10,300,,,,2000,sctransform,FAIL
4,,2025-05-05 16:48:08.229622,2025-05-05 16:48:08.274293,0 days 00:00:00.044671,,,,0.15000000000000002,10,300,,,,2000,sctransform,FAIL
5,,2025-05-05 16:49:29.822150,2025-05-05 16:49:30.950220,0 days 00:00:01.128070,0.3,0.0007413309777968019,400.0,0.15000000000000002,10,300,256.0,30.0,1.0,2000,sctransform,FAIL
6,0.01,2025-05-05 16:53:16.317643,2025-05-05 16:53:17.388097,0 days 00:00:01.070454,,,,0.15000000000000002,10,300,,30.0,1.0,2000,sctransform,COMPLETE
7,0.01,2025-05-05 16:53:17.394939,2025-05-05 16:53:36.250589,0 days 00:00:18.855650,,,,0.2,3,1000,,10.0,2.0,2000,sctransform,COMPLETE
8,0.01,2025-05-05 16:53:36.273938,2025-05-05 16:54:23.526286,0 days 00:00:47.252348,,,,0.1,3,300,,10.0,1.0,3000,sctransform,COMPLETE
9,0.01,2025-05-05 16:54:23.532223,2025-05-05 16:54:23.630914,0 days 00:00:00.098691,,,,0.1,10,300,,10.0,1.0,3000,total,COMPLETE
10,0.01,2025-05-05 16:54:23.636675,2025-05-05 16:55:15.429332,0 days 00:00:51.792657,,,,0.2,3,500,,20.0,1.0,4000,sctransform,COMPLETE
11,0.01,2025-05-05 16:55:15.435988,2025-05-05 16:55:35.052431,0 days 00:00:19.616443,,,,0.2,3,1000,,30.0,1.0,3000,sctransform,COMPLETE
12,0.01,2025-05-05 16:55:35.059132,2025-05-05 16:55:35.275448,0 days 00:00:00.216316,,,,0.1,3,300,,20.0,2.0,1000,total,COMPLETE
13,0.01,2025-05-05 16:55:35.281725,2025-05-05 16:55:50.335044,0 days 00:00:15.053319,,,,0.2,3,1000,,10.0,1.0,1000,sctransform,COMPLETE
14,0.01,2025-05-05 16:55:50.341656,2025-05-05 16:55:50.530217,0 days 00:00:00.188561,,,,0.15000000000000002,3,300,,30.0,1.0,3000,total,COMPLETE
15,0.01,2025-05-05 16:55:50.536361,2025-05-05 16:55:50.606144,0 days 00:00:00.069783,,,,0.05,3,500,,10.0,1.0,3000,total,COMPLETE
16,0.01,2025-05-05 16:55:50.611887,2025-05-05 16:56:53.164939,0 days 00:01:02.553052,,,,0.25,10,200,,30.0,2.0,2000,sctransform,COMPLETE
17,0.01,2025-05-05 16:56:53.171566,2025-05-05 16:57:11.597813,0 days 00:00:18.426247,,,,0.15000000000000002,10,1000,,20.0,2.0,2000,sctransform,COMPLETE
18,0.01,2025-05-05 16:57:11.604407,2025-05-05 16:57:12.965678,0 days 00:00:01.361271,,,,0.25,10,200,,30.0,2.0,2000,sctransform,COMPLETE
19,0.01,2025-05-05 16:57:12.971909,2025-05-05 16:57:31.795310,0 days 00:00:18.823401,,,,0.2,10,1000,,20.0,2.0,2000,sctransform,COMPLETE
20,0.01,2025-05-05 16:57:31.802236,2025-05-05 16:57:32.968254,0 days 00:00:01.166018,,,,0.15000000000000002,10,300,,20.0,2.0,2000,sctransform,COMPLETE
21,0.01,2025-05-05 16:57:32.974202,2025-05-05 16:57:51.672472,0 days 00:00:18.698270,,,,0.25,10,1000,,30.0,2.0,4000,sctransform,COMPLETE
22,0.01,2025-05-05 16:57:51.678786,2025-05-05 16:58:38.738484,0 days 00:00:47.059698,,,,0.05,10,500,,10.0,1.0,2000,sctransform,COMPLETE
23,0.01,2025-05-05 16:58:38.744858,2025-05-05 16:59:40.518298,0 days 00:01:01.773440,,,,0.2,3,200,,20.0,2.0,2000,sctransform,COMPLETE
24,0.01,2025-05-05 16:59:40.524799,2025-05-05 16:59:40.594391,0 days 00:00:00.069592,,,,0.15000000000000002,10,1000,,20.0,2.0,2000,total,COMPLETE
25,0.01,2025-05-05 16:59:40.600698,2025-05-05 17:00:28.654457,0 days 00:00:48.053759,,,,0.1,3,300,,10.0,1.0,1000,sctransform,COMPLETE
26,0.01,2025-05-05 17:00:28.660394,2025-05-05 17:01:18.471323,0 days 00:00:49.810929,,,,0.2,10,300,,30.0,1.0,4000,sctransform,COMPLETE
27,0.01,2025-05-05 17:01:18.477754,2025-05-05 17:01:19.557364,0 days 00:00:01.079610,,,,0.1,3,300,,10.0,1.0,3000,sctransform,COMPLETE
28,0.01,2025-05-05 17:01:19.563272,2025-05-05 17:01:20.663747,0 days 00:00:01.100475,,,,0.1,3,300,,10.0,1.0,3000,sctransform,COMPLETE
29,0.01,2025-05-05 17:01:20.669759,2025-05-05 17:02:16.685459,0 days 00:00:56.015700,,,,0.15000000000000002,3,300,,10.0,1.0,2000,sctransform,COMPLETE
30,0.01,2025-05-05 17:02:16.691351,2025-05-05 17:03:07.220624,0 days 00:00:50.529273,,,,0.05,3,300,,10.0,1.0,2000,sctransform,COMPLETE
31,0.01,2025-05-05 17:03:07.226614,2025-05-05 17:03:21.961651,0 days 00:00:14.735037,,,,0.1,3,1000,,10.0,1.0,3000,sctransform,COMPLETE
32,0.01,2025-05-05 17:03:21.967608,2025-05-05 17:03:22.143178,0 days 00:00:00.175570,,,,0.15000000000000002,3,500,,20.0,2.0,4000,total,COMPLETE
33,0.01,2025-05-05 17:03:22.149662,2025-05-05 17:04:16.664043,0 days 00:00:54.514381,,,,0.15000000000000002,3,200,,20.0,1.0,1000,sctransform,COMPLETE
34,0.01,2025-05-05 17:04:16.670481,2025-05-05 17:05:17.908015,0 days 00:01:01.237534,,,,0.1,10,300,,10.0,2.0,2000,sctransform,COMPLETE
35,0.01,2025-05-05 17:05:17.913936,2025-05-05 17:05:18.018860,0 days 00:00:00.104924,,,,0.2,10,300,,10.0,1.0,3000,total,COMPLETE
36,0.01,2025-05-05 17:05:18.024627,2025-05-05 17:05:18.057119,0 days 00:00:00.032492,,,,0.1,3,1000,,30.0,1.0,3000,sctransform,COMPLETE
37,0.01,2025-05-05 17:05:18.064125,2025-05-05 17:05:18.199756,0 days 00:00:00.135631,,,,0.05,10,300,,10.0,1.0,3000,total,COMPLETE
38,0.01,2025-05-05 17:05:18.206090,2025-05-05 17:05:18.239520,0 days 00:00:00.033430,,,,0.1,10,300,,10.0,1.0,3000,total,COMPLETE
39,0.01,2025-05-05 17:05:18.245968,2025-05-05 17:05:18.282715,0 days 00:00:00.036747,,,,0.1,10,300,,10.0,1.0,3000,total,COMPLETE
40,0.01,2025-05-05 17:05:18.288916,2025-05-05 17:05:18.367842,0 days 00:00:00.078926,,,,0.15000000000000002,3,500,,10.0,1.0,3000,total,COMPLETE
41,0.01,2025-05-05 17:05:18.373730,2025-05-05 17:05:18.478882,0 days 00:00:00.105152,,,,0.2,10,300,,20.0,1.0,4000,total,COMPLETE
42,0.01,2025-05-05 17:05:18.484596,2025-05-05 17:05:33.855614,0 days 00:00:15.371018,,,,0.05,3,1000,,10.0,1.0,1000,sctransform,COMPLETE
43,0.01,2025-05-05 17:05:33.861691,2025-05-05 17:05:34.086790,0 days 00:00:00.225099,,,,0.2,3,300,,20.0,1.0,3000,total,COMPLETE
44,0.01,2025-05-05 17:05:34.092619,2025-05-05 17:05:35.167900,0 days 00:00:01.075281,,,,0.1,10,300,,30.0,1.0,2000,sctransform,COMPLETE
45,0.01,2025-05-05 17:05:35.173728,2025-05-05 17:05:35.227068,0 days 00:00:00.053340,,,,0.25,3,1000,,10.0,2.0,1000,total,COMPLETE
46,0.01,2025-05-05 17:05:35.232797,2025-05-05 17:06:24.966635,0 days 00:00:49.733838,,,,0.15000000000000002,10,200,,10.0,1.0,2000,sctransform,COMPLETE
47,0.01,2025-05-05 17:06:24.972920,2025-05-05 17:07:09.025512,0 days 00:00:44.052592,,,,0.25,3,500,,20.0,1.0,4000,sctransform,COMPLETE
48,0.01,2025-05-05 17:07:09.032059,2025-05-05 17:07:09.178672,0 days 00:00:00.146613,,,,0.2,3,500,,30.0,1.0,4000,sctransform,COMPLETE
49,0.01,2025-05-05 17:07:09.184987,2025-05-05 17:07:09.322539,0 days 00:00:00.137552,,,,0.2,3,500,,20.0,1.0,4000,sctransform,COMPLETE
50,0.01,2025-05-05 17:07:09.328627,2025-05-05 17:07:09.465239,0 days 00:00:00.136612,,,,0.2,3,500,,30.0,1.0,4000,sctransform,COMPLETE
51,0.01,2025-05-05 17:07:09.472595,2025-05-05 17:07:09.506398,0 days 00:00:00.033803,,,,0.15000000000000002,10,1000,,20.0,2.0,2000,sctransform,COMPLETE
52,0.01,2025-05-05 17:07:09.512584,2025-05-05 17:07:51.991531,0 days 00:00:42.478947,,,,0.25,3,500,,10.0,1.0,3000,sctransform,COMPLETE
53,0.01,2025-05-05 17:07:51.998691,2025-05-05 17:07:53.315201,0 days 00:00:01.316510,,,,0.15000000000000002,10,200,,30.0,2.0,2000,sctransform,COMPLETE
54,0.01,2025-05-05 17:07:53.321896,2025-05-05 17:08:53.374963,0 days 00:01:00.053067,,,,0.2,3,300,,20.0,1.0,2000,sctransform,COMPLETE
55,0.01,2025-05-05 17:08:53.380824,2025-05-05 17:08:53.435990,0 days 00:00:00.055166,,,,0.25,10,1000,,10.0,2.0,4000,total,COMPLETE
